wdzjPlatId,platName,isBroken,amount,avgBidMoney,avgBorrowMoney,bidderNum,borrowerNum,currentLeverageAmount,fullloanTime,netInflowOfThirty,incomeRate,loanPeriod,stayStillOfTotal,top10DueInProportion,top10StayStillProportion,totalLoanNum
117,合拍在线,1,26830.33,4.44,66.58,6048,403,13.89,393.18,-61.04,10.36,6.21,138929.43,7.33,36.97,1105
117,合拍在线,1,15807.53,3.91,41.27,4046,383,13.49,153.69,182.4,10.46,5.02,134854.6,7.46,37.75,1193
117,合拍在线,1,25899.25,5.01,41.64,5173,622,14.3,135.79,89.73,10.63,5.86,143030.77,7.15,41.74,1766
117,合拍在线,1,20625.69,4.69,31.25,4400,660,13.31,130.94,-491.31,10.47,5.13,133074.05,7.91,39.66,1715
117,合拍在线,1,14334.99,3.98,34.46,3605,416,11.73,184.38,224.72,10.54,5.41,117304.86,7.93,41.5,1340
118,合力贷,1,4094,2.47,89,1660,46,4.85,1359.82,46.76,10.78,6.49,24226.78,13.88,11.57,100
118,合力贷,1,3160,3.44,87.78,919,36,4.86,1750.9,108.86,11.26,8.37,24285.36,14.04,10.36,70
118,合力贷,1,2820,2.65,90.97,1064,31,4.88,2334.58,-58.68,11.44,8.33,24379.32,13.8,10.24,67
120,钱贷网,1,4081.24,4.32,28.94,944,141,3.84,67.05,828.25,11.61,5.9,19190.6,11.05,21.43,151
120,钱贷网,1,3238.6,3.39,21.74,956,149,3.62,38.77,-72.22,11.16,4.74,18108.73,11.55,21.12,154
120,钱贷网,1,3973.93,4.23,20.7,939,192,3.63,63.16,-45.37,11.28,4.93,18171.31,13.3,20.6,197
125,融信网,0,1465,7.88,41.86,186,35,0.38,2076.73,74.16,11.24,4.86,3843.44,27.13,30.58,52
125,融信网,0,945,5.98,36.35,158,26,0.37,2172.31,51.53,11.09,4.65,3723.95,28.76,28.02,36
125,融信网,0,1325,7.75,37.86,171,35,0.45,2099.46,134.51,11.08,4.69,4544.53,26.49,25.6,52
125,融信网,0,1155,6.14,48.13,188,24,0.49,2337.7,-0.68,11.3,5.08,4850.67,25.64,21.57,43
125,融信网,0,723,4.38,40.17,165,18,0.48,2760.72,80,10.88,4.73,4783.07,26.79,21.12,30
125,融信网,0,990,6.11,49.5,162,20,0.51,1530.72,30,11.35,5.21,5054.75,25.98,19.78,37
125,融信网,0,820,7.45,26.45,110,31,0.46,921.16,0,11.3,5.23,4589.74,28.31,21.79,37
125,融信网,0,1140.1,6.63,36.78,172,31,0.5,491.24,10,11.39,5.24,5016.85,26.72,19.93,42
125,融信网,0,1261,7.21,31.53,175,40,0.52,754.57,80,11.22,5.26,5177.85,29.86,19.89,47
125,融信网,0,940,6.67,32.41,141,29,0.46,323.19,-70,10.66,5.5,4607.83,29.83,21.7,37
125,融信网,0,640,5.16,29.09,124,22,0.47,814.37,-40,9.78,4.45,4684.38,30.63,21.35,24
125,融信网,0,820,7.88,35.65,104,23,0.48,307.9,30,9.56,3.98,4823.36,32.35,20.73,29
125,融信网,0,430,5.58,30.71,77,14,0.46,1794.1,-90,9.75,4.16,4630.28,31.61,21.6,17
125,融信网,0,0,0,0,0,0,0.46,0,50,0,0,4626.93,32.32,21.61,0
125,融信网,0,716,0.38,23.87,1905,30,0.41,2466.3,-69,23.38,4.8,4069.6,33.68,24.08,33
125,融信网,0,406.2,0.88,20.31,462,20,0.32,3978.2,0,9.43,4.1,3247.31,40.47,26.79,31
125,融信网,0,796,7.73,14.74,103,54,0.32,885.8,-30,8.01,1.97,3178.31,53.08,23.28,62
125,融信网,0,210.4,0.82,13.15,256,16,0.29,1350.3,-20,8.97,1.81,2897.51,56.32,23.81,37
127,易通贷,1,79643.88,2.99,307.51,26606,259,22.27,127.9,383.66,12.28,4.96,334083.87,2.42,3.55,4406
127,易通贷,1,90672.5,3.15,266.68,28761,340,23.79,125.16,2418.26,12.34,4.84,356813.05,2.37,3.19,4970
127,易通贷,1,93015.13,3.33,244.78,27922,380,25.21,121.3,630.2,12.45,5.04,378080.34,2.28,2.95,4852
128,信融财富,0,49119.51,3.57,0.83,13757,59499,39.08,9.02,-154.52,11.86,6.6,269840.42,17.94,11.04,62104
128,信融财富,0,53754.84,3.96,0.85,13579,63465,39.29,7.27,1905.68,11.73,5.84,271286.71,16.83,10.85,67389
128,信融财富,0,56999.41,4.39,0.92,12987,62115,39.31,7.08,724.49,12.26,7.54,271416.35,14.77,10.3,70587
128,信融财富,0,48625.32,4.16,4.19,11691,11614,38.93,30.56,-296.82,12.81,9.74,268745.73,14.44,10.66,18675
128,信融财富,0,45091.59,4.13,10.73,10911,4201,35.22,136.83,-1562.01,12.64,9.49,243145.09,12.8,9.81,8227
128,信融财富,0,52202.1,4.71,10.21,11075,5111,35.67,56.72,1141.9,11.45,6.1,246260,13.92,9.44,7938
129,点融网,0,156742.44,10449.5,0.56,15,277516,82.01,0.01,8499.58,13.55,18.71,1640159.3,99.48,0.39,382066
129,点融网,0,146380.83,6653.67,0.66,22,223262,82.27,0.12,4633.11,13.7,20.73,1645402.08,99.54,0.38,262430
129,点融网,0,140146.59,5005.24,0.67,28,209282,83.59,0.36,433.3,14.03,21.33,1671843.96,99.55,0.38,235803
129,点融网,0,108389.03,12043.23,3.46,9,31349,82.78,7.44,417.9,14.1,29.82,1655583.15,99.29,0.38,31443
129,点融网,0,90860.71,11357.59,2.48,8,36630,68.75,0.97,6460.07,12.51,27.15,1375066.62,97.55,0.36,36861
129,点融网,0,52162.05,6520.26,2.66,8,19581,66.98,0,-1748.38,8.96,27.33,1339588.81,97.19,0.37,19667
129,点融网,0,65573.18,9367.6,2.44,21991,26871,65.09,0,-129.75,8.43,25.32,1301761.79,96.95,0.38,27085
129,点融网,0,98981.1,9898.11,2.42,25910,40931,65.54,0,-1589.19,8.22,25.4,1310785.27,97.17,0.38,41356
129,点融网,0,75440.97,7544.1,1.99,1761,37954,64.83,0,2409.33,8.43,24.49,1296542.83,97.24,0.39,38261
129,点融网,0,55428.91,9238.15,3.28,24828,16919,62.89,0,1731.47,8.77,25.37,1257866.21,97.2,0.4,17314
129,点融网,0,139591.4,1.08,2.63,129775,53104,39.34,0.1,-1237.62,11.33,27.9,1180331.38,97.35,0.42,5303615
129,点融网,0,94561.99,0.81,1.5,21194,63014,37.7,1.7,585.77,10.32,27.11,1131051.99,97.52,0.44,3226523
129,点融网,0,64040.29,0.84,1.67,12493,38406,36.56,0.6,-1375.32,9.77,24.27,1096914.25,97.06,0.46,1129876
129,点融网,0,53110.34,0.86,1.49,8663,35597,35.34,0.3,2042.14,9.49,20.86,1060124.46,96.74,0.47,431249
129,点融网,0,63564.1,1.65,3.29,0,19313,34.6,0.8,-1051.48,9.83,23.23,1038107.44,95.49,0.48,432189
129,点融网,0,48235.16,2.7,2.93,0,16460,32.89,1.9,-1907.15,9.57,18.94,986623.98,95,0.51,116708
129,点融网,0,55060.9,2.41,2.38,22840,23106,31.86,15,-542.37,9.65,16.94,955815.8,94.87,0.52,169086
129,点融网,0,24533.67,3.13,0.82,7842,30026,30.42,4.8,-2135.57,10.23,17.23,912734.31,94.81,0.55,112759
142,有利网,0,540888.26,3.39,2.28,159351,237420,312.49,0.03,3113.91,9.92,22.54,1562471.82,6.7,0.07,4268944
142,有利网,0,538881.8,3.61,1.44,149073,373725,299.33,0.01,10286.64,9.59,21.19,1496643.5,4.45,0.1,3463045
142,有利网,0,633230.92,3.92,1.25,161480,504916,322.83,0.02,3594.8,9.57,20.28,1614166.41,0.55,0.07,4051644
