wdzjPlatId,isBroken,amount,avgBidMoney,avgBorrowMoney,bidderNum,borrowerNum,currentLeverageAmount,fullloanTime,incomeRate,loanPeriod,stayStillOfTotal,top10DueInProportion,top10StayStillProportion,totalLoanNum
1614,1,11417.6,3.18,13.2,3592,865,6.57,70.01,12.28,3.94,32853.57,5.72,11.2,1299
117,1,14334.99,3.98,34.46,3605,416,11.73,184.38,10.54,5.41,117304.86,7.93,41.5,1340
4235,1,12200,2.73,100,4475,122,3.64,3523.2,12.5,4.16,47292.41,10.19,7.35,122
102,1,9420.2,7.76,47.82,1214,197,5.23,164.32,11.59,4.6,26173.21,11.3,3.82,203
660,1,5428.38,6.08,2.46,893,2211,8.48,100.1,12.42,15.12,57689.03,15.17,1.73,3658
4367,1,4831.08,1.42,19.25,3406,251,1.33,400.67,11.22,3.06,13331.12,20.1,5.17,434
173,1,17296,2.63,411.81,6572,42,2.74,1442.32,10.29,6.07,54740.79,3.81,39.72,212
171,1,9004.15,2.84,95.79,3165,94,9.97,1313.83,10.21,6.06,59809.39,11.94,2.07,125
692,1,2230.39,3.51,48.49,635,46,20.94,3035,10.89,7.86,20936.77,12.56,11.83,48
900,1,23773.83,3.93,55.55,6044,428,11.5,476.69,13.07,12.89,230015.14,2.89,19.71,433
731,1,4506.86,16.63,121.81,271,37,0.42,137.81,10.18,5.13,4187,86.7,97.38,305
3364,1,3839.7,6.36,61.93,604,62,0.64,737.67,10.79,0.98,4014.91,17.05,40.44,229
443,1,20102.59,2.95,17.85,6809,1126,44.97,44630.37,9.64,12.07,89934.45,12.89,1.28,1149
3955,1,5565.5,3.35,23.29,1660,239,1.85,573.21,14.76,3.13,19464.18,18.19,72.76,291
195,1,1711.06,2.17,46.24,787,37,1.03,929,14.3,6.56,5138.18,14.27,19.46,72
118,1,2820,2.65,90.97,1064,31,4.88,2334.58,11.44,8.33,24379.32,13.8,10.24,67
1530,1,27401.53,3.48,27401.53,7873,1,12.05,427.97,8.69,5.59,241022.06,5.21,100,294
475,1,5114.23,4.69,27.06,1090,189,9.87,311.03,12.42,5.62,19743.77,13.1,9.35,472
236,1,24496.86,3.59,75.37,6821,325,13.56,521.35,11.41,4.21,94914.75,6.16,1.47,325
6592,1,11657.83,3.16,159.7,3688,73,4,372.88,12.3,3.73,31991.14,5.05,63.02,510
246,1,9360.62,2.58,8.88,3633,1054,28.49,43.77,11.53,8.46,71232.74,14.77,1.22,1098
53,1,39430.67,4.42,18.41,8911,2142,4.55,115.52,11.67,6.75,137973.76,4.98,1.04,5420
692,1,2056.9,3.52,48.97,584,42,20.68,2104.41,11.39,8.81,20677.59,12.54,15.35,45
1113,1,8092.71,1.71,622.52,4734,13,2.75,1199.26,11.39,1.62,13757.25,23.46,85.2,153
4197,1,20466.64,3.05,2.95,6709,6949,7.27,39,10.27,3.3,72675.69,5.33,0.31,6949
4235,1,18700,2.76,100,6785,187,7.1,2832.16,13.3,7.06,92320.25,5.41,3.25,187
1653,1,7355.96,3.77,8.67,1950,848,6.01,16.1,16.51,12.98,31272.31,11.68,2.88,942
1989,1,1016.9,2.58,18.83,394,54,1.52,876.26,14.14,7.38,7577.61,20.01,11.41,109
660,1,22059.93,3.13,4.82,7055,4577,9.52,15.55,12.42,15.95,64725.87,15.59,1.55,47814
1653,1,6194.51,3.5,1.57,1771,3938,6.25,7.83,15.64,12.56,32489.58,13.87,2.63,3965
1208,1,4090.2,23.64,4090.2,173,1,2.69,645.36,11.37,2.07,8061.82,35.81,100,133
2817,1,1010,4.74,56.11,213,18,0.58,0.01,14,4.86,6776.01,36.39,20.07,99
5525,1,846.18,2.6,12.63,325,67,1.1,345.22,8.98,4.07,10950.24,12.4,42.88,80
91,1,611120.65,2.67,15.34,228527,39844,123.95,26.48,9.13,7.78,1275809.73,0.57,1.2,124975
4343,1,8946.15,2.8,344.08,3192,26,5.38,1403.38,10.87,3.69,26916.51,4.74,32.94,194
475,1,5228.68,4.11,33.3,1272,157,1.87,369.24,12.69,6.07,18688.82,11.52,15.74,481
905,1,9024.61,4.48,67.35,2013,134,5.68,245.84,16.71,2.82,17025.33,8.14,65.99,683
1614,1,7797.82,2.69,14.15,2899,551,20.47,246.31,12.52,3.85,20470.71,10.46,33.48,953
236,1,24393.46,3.32,75.29,7350,324,13.13,596.08,11.15,4.31,91878.74,5.58,1.48,324
3558,1,116736.16,6.31,1.04,18493,112677,22.15,0.31,9.76,1.27,153839.12,2.3,4.72,321669
4315,1,7748.5,2.44,39.53,3181,196,4.07,1004.89,12.82,6.12,40663.93,4.93,20.27,205
3955,1,5325,5.3,13.87,1005,384,1.84,254.81,14.67,2.56,19342.88,18.04,66.03,431
2930,1,26968.89,5.29,28.78,5097,937,15.86,140.93,11.39,8.98,158621.42,7.48,2.4,3064
371,1,7848.02,3.17,9.93,2475,790,61.22,26.75,16.02,17.51,61219.47,7.11,2.53,807
171,1,7100,2.57,88.75,2766,80,9.68,1313.34,10.5,6.27,58067.73,13.12,2.3,90
4065,1,1263.62,1.41,10.8,899,117,1.79,9166.25,12.08,6.77,5718.5,8.23,6.69,117
1530,1,27950.92,2.97,27950.92,9424,1,12.07,1622.34,8.74,5.75,241495.91,5.26,100,150
2310,1,6233.93,2.2,38.01,2830,164,11.3,192.62,11.42,9.83,56505.15,5.74,8.89,548
1881,1,45491.2,3.19,21.87,14245,2080,10.38,113.3,11.4,3.06,155716.82,3.88,3.34,2176
